date,week,year,month,season,is_holiday,promo_event
2009-12-01,49,2009,12,Winter,0,Christmas Run-up
2009-12-02,49,2009,12,Winter,0,Christmas Run-up
2009-12-03,49,2009,12,Winter,0,Christmas Run-up
2009-12-04,49,2009,12,Winter,0,Christmas Run-up
2009-12-05,49,2009,12,Winter,0,Christmas Run-up
2009-12-06,49,2009,12,Winter,0,Christmas Run-up
2009-12-07,50,2009,12,Winter,0,Christmas Run-up
2009-12-08,50,2009,12,Winter,0,Christmas Run-up
2009-12-09,50,2009,12,Winter,0,Christmas Run-up
2009-12-10,50,2009,12,Winter,0,Christmas Run-up
2009-12-11,50,2009,12,Winter,0,Christmas Run-up
2009-12-12,50,2009,12,Winter,0,Christmas Run-up
2009-12-13,50,2009,12,Winter,0,Christmas Run-up
2009-12-14,51,2009,12,Winter,0,Christmas Run-up
2009-12-15,51,2009,12,Winter,0,Christmas Run-up
2009-12-16,51,2009,12,Winter,0,Christmas Run-up
2009-12-17,51,2009,12,Winter,0,Christmas Run-up
2009-12-18,51,2009,12,Winter,0,Christmas Run-up
2009-12-19,51,2009,12,Winter,0,Christmas Run-up
2009-12-20,51,2009,12,Winter,0,Christmas Run-up
2009-12-21,52,2009,12,Winter,0,Christmas Run-up
2009-12-22,52,2009,12,Winter,0,Christmas Run-up
2009-12-23,52,2009,12,Winter,0,Christmas Run-up
2009-12-24,52,2009,12,Winter,0,Christmas Run-up
2009-12-25,52,2009,12,Winter,1,
2009-12-26,52,2009,12,Winter,1,
2009-12-27,52,2009,12,Winter,0,
2009-12-28,53,2009,12,Winter,0,
2009-12-29,53,2009,12,Winter,0,
2009-12-30,53,2009,12,Winter,0,
2009-12-31,53,2009,12,Winter,0,
2010-01-01,53,2009,1,Winter,1,January Clearance
2010-01-02,53,2009,1,Winter,0,January Clearance
2010-01-03,53,2009,1,Winter,0,January Clearance
2010-01-04,1,2010,1,Winter,0,January Clearance
2010-01-05,1,2010,1,Winter,0,January Clearance
2010-01-06,1,2010,1,Winter,0,January Clearance
2010-01-07,1,2010,1,Winter,0,January Clearance
2010-01-08,1,2010,1,Winter,0,January Clearance
2010-01-09,1,2010,1,Winter,0,January Clearance
2010-01-10,1,2010,1,Winter,0,January Clearance
2010-01-11,2,2010,1,Winter,0,January Clearance
2010-01-12,2,2010,1,Winter,0,January Clearance
2010-01-13,2,2010,1,Winter,0,January Clearance
2010-01-14,2,2010,1,Winter,0,January Clearance
2010-01-15,2,2010,1,Winter,0,January Clearance
2010-01-16,2,2010,1,Winter,0,January Clearance
2010-01-17,2,2010,1,Winter,0,January Clearance
2010-01-18,3,2010,1,Winter,0,January Clearance
2010-01-19,3,2010,1,Winter,0,January Clearance
2010-01-20,3,2010,1,Winter,0,January Clearance
2010-01-21,3,2010,1,Winter,0,January Clearance
2010-01-22,3,2010,1,Winter,0,January Clearance
2010-01-23,3,2010,1,Winter,0,January Clearance
2010-01-24,3,2010,1,Winter,0,January Clearance
2010-01-25,4,2010,1,Winter,0,January Clearance
2010-01-26,4,2010,1,Winter,0,January Clearance
2010-01-27,4,2010,1,Winter,0,January Clearance
2010-01-28,4,2010,1,Winter,0,January Clearance
2010-01-29,4,2010,1,Winter,0,January Clearance
2010-01-30,4,2010,1,Winter,0,January Clearance
2010-01-31,4,2010,1,Winter,0,January Clearance
2010-02-01,5,2010,2,Winter,0,
2010-02-02,5,2010,2,Winter,0,
2010-02-03,5,2010,2,Winter,0,
2010-02-04,5,2010,2,Winter,0,
2010-02-05,5,2010,2,Winter,0,
2010-02-06,5,2010,2,Winter,0,
2010-02-07,5,2010,2,Winter,0,
2010-02-08,6,2010,2,Winter,0,
2010-02-09,6,2010,2,Winter,0,
2010-02-10,6,2010,2,Winter,0,
2010-02-11,6,2010,2,Winter,0,
2010-02-12,6,2010,2,Winter,0,
2010-02-13,6,2010,2,Winter,0,
2010-02-14,6,2010,2,Winter,0,
2010-02-15,7,2010,2,Winter,0,
2010-02-16,7,2010,2,Winter,0,
2010-02-17,7,2010,2,Winter,0,
2010-02-18,7,2010,2,Winter,0,
2010-02-19,7,2010,2,Winter,0,
2010-02-20,7,2010,2,Winter,0,
2010-02-21,7,2010,2,Winter,0,
2010-02-22,8,2010,2,Winter,0,
2010-02-23,8,2010,2,Winter,0,
2010-02-24,8,2010,2,Winter,0,
2010-02-25,8,2010,2,Winter,0,
2010-02-26,8,2010,2,Winter,0,
2010-02-27,8,2010,2,Winter,0,
