date,sku_id,on_hand_units,on_order_units,lead_time_days,reorder_point
2011-12-05,10002,0,0,25,0
2011-12-05,10002R,0,0,14,0
2011-12-05,10080,0,0,25,0
2011-12-05,10109,0,0,14,0
2011-12-05,10120,0,0,25,0
2011-12-05,10123C,0,0,30,0
2011-12-05,10123G,0,0,14,0
2011-12-05,10124A,0,0,25,0
2011-12-05,10124G,0,0,25,0
2011-12-05,10125,0,0,30,0
2011-12-05,10133,0,0,14,0
2011-12-05,10134,0,0,14,0
2011-12-05,10135,0,0,14,0
2011-12-05,10138,0,0,14,0
2011-12-05,11001,0,0,30,0
2011-12-05,15030,0,0,30,0
2011-12-05,15034,0,0,14,0
2011-12-05,15036,229,611,25,794
2011-12-05,15039,0,0,25,0
2011-12-05,15044A,0,0,14,0
2011-12-05,15044B,0,0,14,0
2011-12-05,15044C,0,0,14,0
2011-12-05,15044D,0,0,14,0
2011-12-05,15056BL,0,0,42,0
2011-12-05,15056N,741,0,42,411
2011-12-05,15056P,0,0,42,0
2011-12-05,15058A,0,0,42,0
2011-12-05,15058B,0,0,42,0
2011-12-05,15058C,0,0,30,0
2011-12-05,15059A,0,0,42,0
2011-12-05,15060B,0,0,21,0
2011-12-05,16008,0,0,25,0
2011-12-05,16010,0,0,25,0
2011-12-05,16011,0,0,14,0
2011-12-05,16012,0,0,14,0
2011-12-05,16014,1119,0,25,1454
2011-12-05,16015,0,0,25,0
2011-12-05,16016,0,0,25,0
2011-12-05,16020C,0,0,35,0
2011-12-05,16033,0,0,28,0
2011-12-05,16043,0,0,25,0
2011-12-05,16044,0,0,14,0
2011-12-05,16045,0,0,14,0
2011-12-05,16046,0,0,35,0
2011-12-05,16047,0,0,35,0
2011-12-05,16048,0,0,14,0
2011-12-05,16049,0,0,14,0
2011-12-05,16050,0,0,14,0
2011-12-05,16051,0,0,14,0
2011-12-05,16052,0,0,25,0
2011-12-05,16053,0,0,14,0
2011-12-05,16054,0,0,14,0
2011-12-05,16119,0,0,25,0
2011-12-05,16151A,0,0,35,0
2011-12-05,16156L,0,0,14,0
2011-12-05,16156N,0,0,14,0
2011-12-05,16156S,1238,0,21,577
2011-12-05,16161C,0,0,14,0
2011-12-05,16161E,0,0,14,0
2011-12-05,16161G,0,0,14,0
2011-12-05,16161M,0,0,14,0
2011-12-05,16161P,1449,0,14,439
2011-12-05,16161U,0,0,14,0
2011-12-05,16162L,0,0,35,0
2011-12-05,16162M,0,0,35,0
2011-12-05,16168M,0,0,35,0
2011-12-05,16168S,0,0,35,0
2011-12-05,16169A,0,0,14,0
2011-12-05,16169C,0,0,14,0
2011-12-05,16169D,0,0,14,0
2011-12-05,16169E,0,0,14,0
