sku_id,description,category,subcategory,launch_date,unit_cost,list_price
10002,INFLATABLE POLITICAL GLOBE,Other,Inflatable,2009-12-01,1.0,1.66
10002R,ROBOT PENCIL SHARPNER,Stationery & Gift,Robot,2009-12-02,3.1,5.17
10080,GROOVY CACTUS INFLATABLE,Other,Groovy,2009-12-02,0.51,0.85
10109,BENDY COLOUR PENCILS,Stationery & Gift,Bendy,2009-12-03,0.25,0.42
10120,DOGGY RUBBER,Other,Doggy,2009-12-01,0.26,0.43
10123C,HEARTS WRAPPING TAPE,Home Decor,Hearts,2009-12-01,0.77,1.28
10123G,ARMY CAMO WRAPPING TAPE,Stationery & Gift,Army,2009-12-01,1.0,1.66
10124A,SPOTS ON RED BOOKCOVER TAPE,Other,Spots,2010-03-19,0.25,0.42
10124G,ARMY CAMO BOOKCOVER TAPE,Other,Army,2010-05-13,0.28,0.46199999999999986
10125,MINI FUNKY DESIGN TAPES,Home Decor,Mini,2009-12-01,1.0,1.66
10133,COLOURING PENCILS BROWN TUBE,Stationery & Gift,Colouring,2009-12-01,0.51,0.85
10134,COLOURING PENCILS BROWN TUBE,Stationery & Gift,Colouring,2009-12-03,0.75,1.25
10135,COLOURING PENCILS BROWN TUBE,Stationery & Gift,Colouring,2009-12-01,1.48,2.46
10138,ASSORTED COLOUR JUMBO PEN,Stationery & Gift,Assorted,2009-12-02,0.49,0.81
11001,ASSTD DESIGN RACING CAR PEN,Home Decor,Asstd,2009-12-01,1.97,3.29
15030,FAN BLACK FRAME,Home Decor,Fan,2009-12-13,0.17,0.29
15034,PAPER POCKET TRAVELING FAN,Stationery & Gift,Paper,2009-12-01,0.5,0.83
15036,ASSORTED COLOURS SILK FAN,Other,Assorted,2009-12-01,0.98,1.63
15039,SANDALWOOD FAN,Other,Sandalwood,2009-12-03,1.0,1.66
15044A,PINK PAPER PARASOL,Stationery & Gift,Pink,2009-12-07,3.55,5.91
15044B,BLUE PAPER PARASOL,Stationery & Gift,Blue,2009-12-01,3.55,5.91
15044C,PURPLE PAPER PARASOL,Stationery & Gift,Purple,2009-12-01,3.55,5.91
15044D,RED PAPER PARASOL,Stationery & Gift,Red,2009-12-01,3.55,5.91
15056BL,EDWARDIAN PARASOL BLACK,Garden & Outdoor,Edwardian,2009-12-01,7.48,12.46
15056N,EDWARDIAN PARASOL NATURAL,Garden & Outdoor,Edwardian,2009-12-01,7.63,12.72
15056P,EDWARDIAN PARASOL PINK,Garden & Outdoor,Edwardian,2009-12-01,7.48,12.46
15058A,BLUE POLKADOT GARDEN PARASOL,Garden & Outdoor,Blue,2010-01-24,6.47,10.79
15058B,PINK POLKADOT GARDEN PARASOL,Garden & Outdoor,Pink,2010-01-13,6.47,10.79
15058C,ICE CREAM DESIGN GARDEN PARASOL,Home Decor,Ice,2010-01-24,6.47,10.79
15059A,ENGLISH ROSE EDWARDIAN PARASOL,Garden & Outdoor,English,2009-12-01,7.8,13.0
15060B,FAIRY CAKE DESIGN UMBRELLA,Kitchen & Dining,Fairy,2009-12-03,5.08,8.47
16008,SMALL FOLDING SCISSOR(POINTED EDGE),Other,Small,2010-03-19,0.15,0.25
16010,FOLDING CAMPING SCISSOR W/KNIF & S,Other,Folding,2010-01-17,0.07,0.12
