week_start,sku_id,units_sold,revenue,avg_price,promo_days,category,list_price,unit_cost
2009-11-30,15036,337.0,189.95,0.828,5.0,Other,1.63,0.98
2009-12-07,15036,103.0,79.3,1.1104166666666666,4.0,Other,1.63,0.98
2009-12-14,15036,63.0,58.5,1.2133333333333334,3.0,Other,1.63,0.98
2009-12-21,15036,103.0,71.5,1.21875,2.0,Other,1.63,0.98
2010-01-04,15036,192.0,124.80000000000001,0.65,3.0,Other,1.63,0.98
2010-01-11,15036,30.0,30.860000000000003,1.2422916666666668,4.0,Other,1.63,0.98
2010-01-18,15036,118.0,83.0,0.9650000000000001,5.0,Other,1.63,0.98
2010-01-25,15036,59.0,45.28,0.9650000000000001,4.0,Other,1.63,0.98
2010-02-01,15036,36.0,20.520000000000003,0.5900000000000001,2.0,Other,1.63,0.98
2010-02-08,15036,98.0,64.96000000000001,0.8600000000000001,2.0,Other,1.63,0.98
2010-02-15,15036,214.0,145.4,0.7025,4.0,Other,1.63,0.98
2010-02-22,15036,103.0,67.47,0.8170833333333334,4.0,Other,1.63,0.98
2010-03-01,15036,194.0,178.36,1.073888888888889,3.0,Other,1.63,0.98
2010-03-08,15036,104.0,88.6,1.08125,4.0,Other,1.63,0.98
2010-03-15,15036,747.0,425.04,0.7786666666666667,5.0,Other,1.63,0.98
2010-03-22,15036,117.0,87.61,0.8079166666666667,4.0,Other,1.63,0.98
2010-03-29,15036,785.0,509.08,0.8170833333333334,4.0,Other,1.63,0.98
2010-04-05,15036,232.0,161.72000000000003,0.8243750000000001,4.0,Other,1.63,0.98
2010-04-12,15036,96.0,72.0,0.75,3.0,Other,1.63,0.98
2010-04-19,15036,195.0,154.2,0.8589444444444445,6.0,Other,1.63,0.98
2010-04-26,15036,832.0,572.48,0.8316666666666667,5.0,Other,1.63,0.98
2010-05-03,15036,468.0,348.96000000000004,0.9433333333333334,4.0,Other,1.63,0.98
2010-05-10,15036,1179.0,732.0,0.7581666666666667,4.0,Other,1.63,0.98
2010-05-17,15036,74.0,56.56,0.909,5.0,Other,1.63,0.98
2010-05-24,15036,894.0,620.04,0.798,5.0,Other,1.63,0.98
2010-05-31,15036,404.0,290.13,0.9412,5.0,Other,1.63,0.98
